Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	39122330SD00064	El CC OLP 0-8A 230V Sensata	0
ZBF12S	39122330SD00120	El BC OLP 0-8A 230V Common	4
ZBF12S	39122330SD00156	El AC Rly-OLP 0.5-0.8A 230V S	7680
ZBF12S	39122330SD00178	El BC Rly-OLP 0.4-0.63A 230V	4782
ZBF12S	39122330SD00224	El Ol Rly 0.63-1A 230V	5378
ZBF12S	39122330SD00226	El Ol Rly 0.63-1A 230V	2
ZBF12S	39122330SD00454	PTC 0-8A 230V Sensata CSCR	0
ZBF12S	39122330SD00494	El Ol Rly 0.2-1.0A GE93	49
ZBF12S	39122330SD00496	El Ol Rly 0.2-1.0A GE120H	0
ZBF12S	39122330SD00498	El Ol Rly 0.2-1.0A GE131	33
ZBF12S	40101701PA01431	Blower GSC18FR3WLT IDU 1.5TR	1
ZBF12S	40101701PA02105	IDU Service - Godrej 1.5 Curve	40
ZBF12S	40101701PA02107	IDU POWERCOOL Type C 2T SAC	19
ZBF12S	40101701PA02721	Condensor GSC12FS3 WLH 1.5TR	1
ZBF12S	40101701PA02911	Capacitor Common 45mfd440VAC	0
ZBF12S	40101701PA06057	Ctrl Crd Asly GSC 18 AMINV 3	1
ZBF12S	40101701PA06602	Condensor 1R CU 3/8 20x30 Inch	15
ZBF12S	40101701PA06604	Remote Control Common	11
ZBF12S	40101701PA06758	Condensor 1R CU 20x30" 1T SAC	27
ZBF12S	40101701PA06798	Bush Swing Motor GSC	0
ZBF12S	40101701PA07280	Display PCB GIC18WTC3WSB 1.5TR	1
ZBF12S	40101701PA07638	Fan motor IDU 20W 20-01 SAC Cu	24
ZBF12S	40101701PA07639	Fan motor IDU 29W 35B SAC Cu	1
ZBF12S	40101701PA07640	Fan motor IDU 20W 2-05A SAC Cu	12
ZBF12S	40101701PA07641	Fan motor ODU 28W 1-03A SAC Cu	11
ZBF12S	40101701PA07642	Fan motor ODU 38W 38A SAC Cu	33
ZBF12S	40101701PA07644	Condensor 1.5 row GSC18FG7WMG	3
ZBF12S	40101701PA07837	Motor ODU 55W G-KFD55 SAC Cu	454
ZBF12S	40101701PA07939	Evaporator Coil Asy GSC 18ITC3	5
ZBF12S	40101701PA08034	Capacitor Comp GSC12ITC3WUA 1T	0
ZBF12S	40101701PA08442	Remote Control AC Basic	0
ZBF12S	40101701PA08620	Evaporator Coil GIC 18PGC5 WVA	6
ZBF12S	40101701PA08629	Swing Motor GIC 18PGC5 WVA	0
ZBF12S	40101701PA08748	Condensor GSC 18PTC3 WVA 1.5TR	0
ZBF12S	40101701PA09350	Rear Panel SFC 18LTC3 WWR	0
ZBF12S	40101701PA09495	IDU Service 1T SAC Godrej	30
ZBF12S	40101701PA10262	Motor ODU 55W G-KFD55 SAC AL	545
ZBF12S	40101701PA11142	IDU Service 1.5T SAC Godrej D	46
ZBF12S	40101704DG00003	Cond MS Unit Axis & 200 L	271
ZBF12S	40101704DG00004	Cond MS Unit Edge 250 L	255
ZBF12S	40101704DG00005	Cond MS Unit Edge 215 L	0
ZBF12S	40101704DG00052	Cond MS Unit 300Ltr 97744923	0
ZBF12S	40101704DG00130	Cond MS Edge 215 Fix 21 Row 96	0
ZBF12S	40101704DG00233	Cond MS MCC 180L EDGE Row 16	69
ZBF12S	40101704DG00234	Cond MS MCC 250L EDGE BO Row	26
ZBF12S	40101704DG00235	Cond MS MCC 300L Row 24	4
ZBF12S	40101704DG00236	Cond MS Edge 215 Fix 21 Row 96	57
ZBF12S	40101705SD00003	Cplry Cu ID:0.75mm OD:1.85mm	0
ZBF12S	40101705SD00035	Cplry Cu ID:0.036mm OD:1.6mm	96
ZBF12S	40101705SD00036	Cplry Cu ID:0.031mm OD:1.6mm	114
ZBF12S	40101723PA00038	Engine Assly Qube HS Q101/102	0
ZBF12S	40101796SD00090	ODU DSS 18PI3R32 WWP 3S White	0
ZBF12S	40101797SD00090	IDU DSS 18PI3R32-WWP 3S White	0
ZBF12S	40101815DG00191	Immrsn htr 100W Spin Refresh	11
ZBF12S	40141605SD00028	Hy Sl Vlv 230V 7-12bar 1mm	0
ZBF12S	40142008DG00012	Hose Assly INTAKE5/5/5.9KG SA	0
ZBF12S	40142008DG00021	Hose Feed Case PVC Natural OLD	15
ZBF12S	40151606SD00053	Cmpsr Hrm 8cc PC G3 R134a	148
ZBF12S	40151606SD00101	Cmpsr Hrm 910BTU DF TypeB	80
ZBF12S	40151606SD00106	Cmpsr Hrm 755BTU DF TypeA	30
ZBF12S	40151606SD00122	Cmpsr Hrm 538BTU Pktw/oKit	0
ZBF12S	40151606SD00206	Cmpsr Hrm 798BTU 234W	0
ZBF12S	40151606SD00215	Cmpsr Hrm 11cc w/oKit I11BIT	0
ZBF12S	40151606SD00260	Cmpsr Hrm 1350BTU PA80H1C RSCR	0
ZBF12S	40151606SD00276	Cmpsr Hrm 470BTU 138W	43
ZBF12S	40151606SD00321	Cmpsr Hrm 460BTU GMV7 WOKIT SP	0
ZBF12S	40151606SD00336	Cmpsr Hrm 360BTU 105W GE43	31
ZBF12S	40151606SD00337	Cmpsr Hrm 478BTU 140W GE52	26
ZBF12S	40151606SD00338	Cmpsr Hrm 665BTU 195W GE70	9
ZBF12S	40151606SD00340	Cmpsr Hrm 855BTU 250W GE93	143
ZBF12S	40151606SD00341	Cmpsr Hrm 1296BTU 380W GE131	21
ZBF12S	40151606SD00342	Cmpsr Hrm 3924BTU 1150W GE120H	3
ZBF12S	40151606SD00377	Cmpsr Hrm 420BTU MG1- R134a	506
ZBF12S	40151606SD00378	Cmpsr Hrm 545BTU MG2- R134a	403
ZBF12S	40151606SD00403	Cmpsr Hrm 8.1cc wt Kit GP8M1	0
ZBF12S	40151606SD00466	Cmpsr Hrm 392BTU 88W A110WZ	70
ZBF12S	40151606SD00467	Cmpsr Hrm 495BTU 112W S53WZ1	35
ZBF12S	40151606SD00468	Cmpsr Hrm 665BTU 134W SK72WZ1	7
ZBF12S	40151606SD00479	Cmpsr Hrm 492BTU GI8C1T2 WK	18
ZBF12S	40151606SD00481	Cmpsr Hrm 340BTU GMAI57L-WK	40
ZBF12S	40151606SD00483	Cmpsr Hrm 8.1cc GP8M1 WK	18
ZBF12S	40151608SD00003	Rot Cmpr 1T 3500W R22 HSM200	31
ZBF12S	40151608SD00156	Rot Cmpr 2T 6705W R22 PH370	61
ZBF12S	40151608SD00166	Rot Cmpr 1.5T 5100W R22 PH290	114
ZBF12S	40151608SD00207	Rot Cmpr 1.5T 5000W 230V R32	0
ZBF12S	40182500SD00087	Cu Tube OD:12.7mm ID:0.5mm	1
ZBF12S	40182500SD00176	Cu Tube OD:19.05mm ID:17.05mm	9
ZBF12S	40182500SD00394	Cu Tube OD:6.35mm ID:5.15mm	8
ZBF12S	40182500SD00398	Cu Tube OD:4.76mm ID:3.56mm	20
ZBF12S	40182506DG00008	Drier Tube Drier HockySt(10gm)	1226
ZBF12S	40182506DG00048	Wtr Evap Coil 245L	1
ZBF12S	40182506DG00068	Drier Tube EFF Drier(3/16*1/4)	450
ZBF12S	40182506DG00194	Drier Tube EFF (3/16*1/4) S	1096
ZBF12S	41111965SD00001	Wtr Lvl snsr Without Spring	20
ZBF12S	41111965SD00007	Wtr Lvl snsr Auriga Robert	0
ZBF12S	41111970SD00007	Temp Snsr NTC -18 to 5 degC	0
ZBF12S	41112209SD00005	Trmst -18 to +4 deg Epro R600	0
ZBF12S	41112209SD00006	Trmst -5 to +15 deg EDGE	0
ZBF12S	41112209SD00007	Trmst -5 to +15 deg DC Ref	466
ZBF12S	41112209SD00036	Trmst -18 to +5 deg PB CLIP	58
ZBF12S	41112209SD00038	Trmst -18 to +5 deg EON	16
ZBF12S	41112209SD00039	Trmst -18 to +5 deg Common-BC	145
ZBF12S	41112209SD00040	Trmst -18 to +5 deg Type-A	40
ZBF12S	41112209SD00041	Trmst -18 to +5 deg Common-WC	220
ZBF12S	41112209SD00042	Trmst -18 to +5 deg Common-DF	144
ZBF12S	41112209SD00100	Trmst -24.5 to -8.5 deg Manual	0
ZBF12S	41112209SD00109	Trmst -12.5 to 3 deg Manual	0
ZBF12S	41112209SD00138	Trmst -24.5 to -8.5 deg Epro	0
ZBF12S	41112209SD00139	Trmst -24.5 to -8.5 deg Edge	0
ZBF12S	52141501PA00001	Chiller Tray Assy Wt Trim Epro	1
ZBF12S	52141501PA00003	Btl Shlf Asy GPPS Ntr Neo Wht	25
ZBF12S	52141501PA00006	Utility shelf assy 1 Prnt GPPS	7
ZBF12S	52141501PA00007	FD Assy with Handle Edgepro	0
ZBF12S	52141501PA00025	Crisper Tray Asy GPPS Natural	68
ZBF12S	52141501PA00060	Liner Shlf F type MS Neo/Axis	1
ZBF12S	52141501PA00064	Bimetal Assy molex EON	0
ZBF12S	52141501PA00066	ASSLY DEFROST SENSOR-FUSE GAD	335
ZBF12S	52141501PA00106	FD RDY Assly 180 UPGRADE-SER	131
ZBF12S	52141501PA00107	FD GDA23 RFDDESX23FD	24
ZBF12S	52141501PA00209	Evap WT SCTN LINE EON 245/265	61
ZBF12S	52141501PA00211	Evap EDGEDIGI 192/212	41
ZBF12S	52141501PA00212	Evap EDGEDIGI 241 REVDEDG24RBC	1
ZBF12S	52141501PA00214	Evap GD19 DLX REVDPNT19RBC	10
ZBF12S	52141501PA00215	Evap GD19/21 REVDPNT21RBC	0
ZBF12S	52141501PA01067	Evap with capillary 180 AXIS	0
ZBF12S	52141501PA01068	Evap with capillary 180 EDGE	23
ZBF12S	52141501PA01070	Evap with capillary 215 EDGE	1
