Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
RMS97744866,EPSSPACER FRNTFACIA LH 190-210,13111308DG00011,EPSSPACER FRNTFACIA LH 190-210
RMS97744867,EPSSPACER FRNTFACIA RH 190-210,13111308DG00010,EPSSPACER FRNTFACIA RH 190-210
RMS97744868,EPS SPACER FOR DOOR 190-210   ,13111308DG00095,EPS SPACER FOR DOOR 190-210
RMS97744869,EPS TOP FOR 190-210           ,13111308DG00003,EPS TOP FOR 190-210
RMS97744873,EPS DOOR SUPPORT FOR 190-210  ,13111308DG00094,EPS DOOR SUPPORT FOR 190-210
RMS97744874,EPSBASE HALFPLSTICBASE 190-210,13111308DG00093,EPSBASE HALFPLSTICBASE 190-210
RMS97744875,EPS BASE FOR 190-210          ,13111308DG00009,EPS BASE FOR 190/210 EDGEPRO
RMS97744876,RUBBER GROMMET FOR 190-210    ,31162401DG00033,RUBBER GROMMET FOR 190-210
RMS97744909,T TOP CAP A GFE25 WINE RED··· ,31141596DG00032,T TOP CAP A GFE25 WINE RED
RMS97744910,T TOP CAP B GFE25 WINE RED·   ,31141596DG00033,T TOP CAP B GFE25 WINE RED
RMS97744911,TTOP HINGE CAP GFE25 WINE RED ,31141596DG00034,TTOP HINGE CAP GFE25 WINE RED
RMS97744912,FD TOP CHNL.HNG CAP WINE RED  ,31141596DG01269,FD TOP CHNL.HNG CAP WINE RED
RMS97744920,BULB CHANNEL 300L             ,31141596DG00143,THERMOSTAT BULB CHNL 165F
RMS97744948,REAR SUPPORT FRAME LH D GREY  ,31141596DG00292,REAR SUPPORT FRAME LH D GREY
RMS97744949,REAR SUPPORT FRAME RH D GREY  ,31141596DG00293,REAR SUPPORT FRAME RH D GREY
RMS97744950,FOAM LOCK FOR CHNL E PRO      ,31141596DG00186,CHILLER TRAY HIPS 170/180
RMS97744967,ADHESIVE FR GLASS TRIM PASTING,31201601SD00019,ADHESIVE FR GLASS TRIM PASTING
RMS97744968,BUSH FOR HANDLE-EDGE PRO      ,31171609DG00019,BUSH FOR HANDLE-EDGE PRO
RMS97744989,USER MANUAL 5 PAGER           ,55101521SD00121,USER MANUAL 5 PAGER
RMS97744991,PAPER SET FOR TBL TOP EDG PRO ,14121800SD00001,PAPER SET FOR TBL TOP EDG PRO
RMS97744992,WIR DIA FOR EDG PRO           ,55121606SD00423,WIR DIA FOR EDG PRO
RMS97744993,ENERGY LABLE EDGEPRO190PDS2013,55121606SD00602,ENERGY LABLE EDGE PRO190  PDS
RMS97744994,ENERGY LABLE EDGEPRO190PD2013 ,55121606SD00601,ENERGY LABLE EDGE PRO190  PD
RMS97744995,ENERGY LABLE EDGEPRO210PDS2013,55121606SD00600,ENERGY LABLE EDGE PRO210  PDS
RMS97744996,ENERGY LABLE EDGEPRO210PD2013 ,55121606SD00599,ENERGY LABLE EDGE PRO210  PD
RMS97744997,EPS TABLE TOP SUPPORT EDGE PRO,13111308DG00001,EPS TABLE TOP SUPPORT EDGE PRO
RMS97744998,USER MANUAL FOR EDGE PRO      ,55101521SD00013,USER MANUAL NEW FOR DC RANGE
RMS97744999,SCT LINE GD TUBE710MM-190EPRO ,40183002SD00018,SCT LINE GD TUBE710MM-190EPRO
RMS97745022,LOCK COVER SW RED EDGE PRO    ,31141596DG00294,LOCK COVER SW RED EDGE PRO
RMS97745023,SLIDE FR TT  SW RED EDGE PRO  ,31141596DG00295,SLIDE FR TT  SW RED EDGE PRO
RMS97745037,COVER FOR FOMING HOLE EDGE PRO,55121606SD00070,COVER FOR FOMING HOLE EDGE PRO
RMS97745077,NUT PLATE FOR BTM PC L SHAPE  ,31281896DG00016,NUT PLATE FOR BTM PC L SHAPE
RMS97745078,NUT PLATE FOR BTM PC SQR  SHAP,31281896DG00098,NUT PLATE FOR BTM PC SQR  SHAP
RMS97745156,EPS SUP FR PDP EDGE PRO       ,13111308DG00012,EPS SUP FR PDP EDGE PRO
RMS97745157,EPE U FOAM SUP FOR CRSPR GLASS,13111308DG00013,EPE U FOAM SUP FOR CRSPR GLASS
RMS97745175,WIRE HARNESS 200L             ,26121700DG00405,WIRE HARNESS 200L
RMS97745176,DRAIN TUBE 568MM              ,40183002SD00114,DRAIN TUBE 568MM- 200 LTR
RMS97745179,SER CHRG T TOP FRNT PC EDGE B0,73151607SD00076,SER CHRG T TOP FRNT PC EDGE B0
RMS97745180,SER CHRG TOP CHANNEL EDGE B0  ,73151607SD00077,SER CHRG TOP CHANNEL EDGE B0
RMS97745181,SER CHRG BOTTM CHANNEL EDGE B0,73151607SD00078,SER CHRG BOTTM CHANNEL EDGE B0
RMS97745182,FRONT CAP FOR T TOP EDGE B0 WR,31141596DG01194,PLUG EDGE B0 WINE RED FRONT
RMS97745183,FRONT CAP FOR T TOP EDGE B0 DG,31141596DG01193,PLUG EDGE B0 DARK GREY FRONT
RMS97745184,FRONT CAP FOR T TOP EDGE B0 CG,31141596DG01192,PLUG EDGE B0 CANDY GREY FRONT
RMS97745185,BACK CAP FOR T TOP EDGE B0 WR ,31141596DG01191,PLUG EDGE B0 WINE RED BACK
RMS97745186,BACK CAP FOR T TOP EDGE B0 DG ,31141596DG01190,PLUG EDGE B0 DARK GREY BACK
RMS97745187,BACK CAP FOR T TOP EDGE B0 CG ,31141596DG01189,PLUG EDGE B0 CANDY GREY BACK
RMS97745188,LOCK COVER FOR CHANNEL B0 WR  ,31141596DG01188,LOCK COVER FOR CHANNEL B0 WR
RMS97745189,LOCK COVER FOR CHANNEL B0 DG  ,31141596DG01187,LOCK COVER FOR CHANNEL B0 DG
RMS97745190,LOCK COVER FOR CHANNEL B0 CG  ,31141596DG01186,LOCK COVER FOR CHANNEL B0 CG
RMS97745199,CABINET BACK FOR 240L EDGE PRO,31281896DG00103,CABINET BACK FOR 240L EDGE PRO
RMS97745220,PAPER STRIP 911MM 200L        ,14121800SD00024,PAPER STRIP 911MM 200L
RMS97745221,PAPER FOR LINER 200L          ,14121800SD00025,PAPER FOR LINER 200L
RMS97745222,DUCT COVER 250L WITH PRINTING ,31141596DG02238,DUCT COVER 250L LH WITH PRINT
RMS97745231,DUCT COV 250L LH&RH WITH PRINT,31141596DG02239,DUCT COV 250L RH WITH PRINT
RMS97745236,SOWM STKR FOR EXPORT GFE 25 BA,55121606SD00878,SOWM STKR FOR EXPORT GFE 25 BA
RMS97745238,SOWM STKR FOR EXPORT GFE 35 BA,55121606SD00879,SOWM STKR FOR EXPORT GFE 35 BA
RMS97745239,STKR FOR IMPORTER NAME        ,55121606SD00873,STKR FOR IMPORTER NAME
RMS97745240,PACKING STRIP FOR SERVICE MA  ,55121606SD00555,PACKING STRIP FOR SERVICE MA
RMS97745241,ICE TREY SILICON HEART SHAPE  ,31141596DG00931,ICE TREY SILICON ASSORTED
RMS97745242,ICE TREY SILICON ASSORTED     ,31141596DG00931,ICE TREY SILICON ASSORTED
RMS97745249,ENERGY LABEL FR RD EP190CT2015,55121606SD00424,ENERGY LABEL FOR RD EP 190 CT
RMS97745251,LOCK LEVER                    ,31281896DG00060,LOCK LEVER RD EDGE 185 CW
RMS97745257,HEAT SHRINK SLEEVE 18MMX1200MM,40183006SD00014,HEAT SHRINK SLEEVE 18MMX1200MM
RMS97745258,HEAT SHRINK SLEEVE 18MMX150MM ,40183006SD00013,HEAT SHRINK SLEEVE 18MMX150MM
RMS97745260,CU SUCLN ASLY FR GFE25/26 1770,40182506DG00024,CU SUCLN ASLY FR GFE25/26 1770
RMS97745261,CU SUCLN ASLY FR GFE27/28 1870,40182506DG00028,CU SUCLN ASLY FR GFE27/28 1870
RMS97745262,CU SUCLN ASLY FR GFE29/30 1885,40182506DG00027,CU SUCLN ASLY FR GFE29/30 1885
RMS97745263,CU SUCLN ASLY FR GFE31/32 2075,40182506DG00026,CU SUCLN ASLY FR GFE31/32 2075
