Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
ABLSTR125BL,Blower GSC12FR5WMT            ,40151608SD00059,Rot Cmpr 1.5T 5550W R22 PH310
ABLSTR224CF,Blower GSC24FR2WLT            ,40151608SD00062,Rot Cmpr 1T 3300W 230V R22 TCL
ABLSTR318CB,Blower GSC18FR3WNT            ,40151608SD00064,Rot Cmpr 1.5T 5125W 230V R22
ABLSTR318CF,Blower GSC18FR3WLT            ,40151608SD00045,Rot Cmpr 1.5T 4970W 230V R22
ABLSTR512FB,Blower GSC12FR5WNT            ,40151608SD00046,Rot Cmpr 1T 3400W 230V R22
ABLSTYN18FB,Blower GSH18FYNWMT            ,40151608SD00058,Rot Cmpr 1T 3375W 230V R290
ABLSUW242FB,Blower GSC24FW2WNU            ,40151608SD00050,Rot Cmpr 1T 3360W 230V R22 AUX
ABLSUW243BA,Blower GSC24FW3WNU            ,40151608SD00065,Rot Cmpr 1.5T 4900W 230V R22
ABLSZC183UB,Blower GSC18FC3WMZ            ,40151608SD00066,Rot Cmpr 1.5T 4900W 230V R22
ABLSZP212FI,Blower GSC18FP2WLZ            ,40151608SD00067,Rot Cmpr 1.5T 5000W 230V R410a
ABLSZP212IF,Blower GSC12FP2WLZ            ,40151608SD00008,Rot Cmpr 1.5T 5280W 230V R290
ABLT12PWCCF,Blower POWERCOOL1TON          ,40151608SD00049,Rot Cmpr 2T 6000W 230V R410a
ABLT18PWCCF,Blower POWERCOOL1.5TON        ,40151608SD00048,Rot Cmpr 1T 3341W 230V R410a
ABLT22PWCCF,Blower POWERCOOL2TON          ,40151608SD00038,Rot Cmpr 1T 3300W 230V R410a
ABLW12G2BLW,Blower GWC12GG2WJM            ,40151608SD00051,Rot Cmpr 1T 3300W 230V R410a
ABLW18GU4BL,Blower GWC18GU4WLH            ,40151608SD00041,Rot Cmpr 1.5T 4900W 230V R410a
ABLWCQ318CB,Blower GWC18GQ3WNC            ,40151608SD00068,Rot Cmpr 2T 5900W 230V R410a
ABLWTU184BL,Blower GWC18GU4WMT            ,40151608SD00042,Rot Cmpr 1.5T 4850W 230V R410a
ABRSTR224MS,Motor Bracket GSC24FR2 WLT    ,40151608SD00069,Rot Cmpr 1.5T 5200W 230V R410a
ABS97749233,Rear Panel (IDU) GSC24FI5WNX  ,40151608SD00070,Rot Cmpr 1.5T 4950W 230V R22
ABS97755305,Base Plate GSC18MIN3RWPM      ,40151608SD00071,Rot Cmpr 1T 3250W 230V R410a
ABS97756522,Base PlateGSC12MINV3RWPM      ,40151608SD00076,Rot Cmpr 1T 3400W 230V R410a
ABS97756529,Base PlateGSC18CPZ3RWPC       ,40151608SD00097,Rot Cmpr 1.5T 4805W 230V R410a
ABS97756564,Base PlateGSC12CPZ5RWPC       ,40151608SD00098,Rot Cmpr 1.5T 5100W 230V R410a
ABS97756705,Rear Panel GSC12F/SFZM5RWPM   ,40151608SD00099,Rot Cmpr 1T 3343W 230V R410a
ABS97756707,Base PlateGSC12F/SFZM5RWPM    ,40151608SD00100,Rot Cmpr 1T 3300W 230V R410a
ABS97756755,Rear Panel GSC12F/S FZM3RWPM  ,40151608SD00091,Rot Cmpr 1T 3517W 230V R410a
ABS97756757,Base PlateGSC12F/S FZM3RWPM   ,40151608SD00092,Rot Cmpr 1T 3457W 230V R410a
ABS97757290,Base Plate GSC12FFZH/DG5RWPH  ,40151608SD00093,Rot Cmpr 1T 3400W 230V R410a
ABS97757330,Base Plate GSC12FFZH/DG3RWPH  ,40101701PA05243,Comp GSC12FFZH/DG3RWPH 1T SAC
ABS97757392,Base Plate GSC18F/SFZM3RWPM   ,40151608SD00090,Rot Cmpr 1.5T 5275W 230V R410a
ABS97757422,Base Plate GCC18GPM           ,40151608SD00095,Rot Cmpr 1.5T 5150W 230V R22
ABS97757460,IDU base plate GCC18GPM       ,40151608SD00096,Rot Cmpr 1.5T 5100W 230V R22
ABS97757542,Base Plate GCC24GPM           ,40151608SD00101,Rot Cmpr 1.5T 5150W 230V R22
ABS97757568,Base PlateGCC36GPM            ,40151608SD00022,Rot Cmpr 0.8T 2600W 230V R22
ABS97757606,IDU BASE PLATEGCC 36 GPM      ,40151608SD00012,Rot Cmpr 1.5T 5011W 230V R22
ABS97757807,Base Plate GSC18USZ5WPR       ,40151608SD00072,Rot Cmpr 1T 3410W 230V R22
ABS97757841,Base Plate GWC18UGZ3WPR       ,40151608SD00059,Rot Cmpr 1.5T 5550W R22 PH310
ABS97758346,BaseGSC24FFXZ5CWQZ            ,40151608SD00058,Rot Cmpr 1T 3375W 230V R290
ABSSHK312BS,Base Plate (ODU) GSC12FK3WLH  ,40151608SD00024,Rot Cmpr 1T 3517W 230V R22
ABSSHK318BT,CHASSIS SUB-ASY(BSE TY)GWC18RC,40151608SD00020,Rot Cmpr 1T 3517W 230V R22
ABSSHS312BS,Base Plate (ODU) GSC12FS3WLH  ,40151608SD00059,Rot Cmpr 1.5T 5550W R22 PH310
ABSSHS318BT,Base Plate (ODU) GSC18FS3WLH  ,40151608SD00019,Rot Cmpr 2T 6170W 230V R22
ABSSHV105CA,Base Plate (ODU) GSC10FV5KRJH ,40151608SD00018,Rot Cmpr 2T 6209W 230V R22
ABSSHV512BS,Base Plate (ODU) GSC12FV5     ,40151608SD00040,Rot Cmpr 1T 3311W 230V R22
ABSSHV512OB,Base Plate (ODU) GSC12FV5HRLH ,40151608SD00017,Rot Cmpr 1.5T 5117W 230V R22
ABSSHV518BT,Base Plate (ODU) GSC18FV5     ,40151608SD00028,Rot Cmpr 1T 3450W 230V R22
ABSSLG218BA,Base (WAC) GWC18GF2WLL        ,40151608SD00027,Rot Cmpr 1.5T 5202W 230V R22
ABSSLJ182BS,Base Plate (ODU) GSC18FJ2/3WLL,40151608SD00023,Rot Cmpr 2T 6386W 230V R22
ABSSLJ218BS,Base Plate (ODU) GSC18FJ2/3WLL,40151608SD00058,Rot Cmpr 1T 3375W 230V R290
ABSSLZ518BS,Base Plate (ODU) GSC18FZ5WLL  ,40151608SD00036,Rot Cmpr 1.5T 5000W 230V R22
ABSSME324BT,Base Plate (ODU) GSC24FE3WJM  ,40151608SD00074,Rot Cmpr 1.5T 4900W 230V R22
ABSSME424BA,Base Plate (ODU) GSC24FE4WJM  ,40151608SD00035,Rot Cmpr 2T 6100W 230V R22 AUX
ABSSME518BA,Base Plate (ODU) GSC18FE5WJM  ,40151608SD00013,Rot Cmpr 1T 3346W 230V R22
ABSSPRN718B,Base Plate (ODU) GSC12FG7BLG  ,40151608SD00055,Rot Cmpr 1T 3341W 230V R22
ABSSTR224BS,Base Plate (ODU) GSC24FR2WLT  ,40101701PA02611,Condensor GSC12FR5WMT 1.5TR
ABSSTR318BS,Base Plate (ODU) GSC18FR3WLT  ,40101701PA04759,Condensor GSC18FZ3WNL 1.5TR
